  C:\Program Files\Altair\2019\tutorials\hm\interfaces\abaqus\abaqus_contactManager_2D_tutorial.hm | OK | X(0/537) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\abaqus\abaqus_contactManager_3D_tutorial.hm | OK | X(2/1340) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\abaqus\bracket_cradle.hm | OK | X(0/2278) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\abaqus\crash_tubes.hm | OK | X(1/4902) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\abaqus\geometry.hm | OK | X(0/4116) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\chapter2_1.hm | X(0/2898) | X(0/2813) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\chapter2_2.hm | X(0/2898) | X(0/2813) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\chapter2_3.hm | X(0/612) | X(0/500) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\chapter3.hm | X(0/2230) | X(0/2045) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\chapter3.hm.hm | X(0/2230) | X(0/2045) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\hm-ansys_contact_manager_2-d_tutorial.hm | X(0/203) | X(0/173) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\hm-ansys_contact_manager_3-d_tutorial.hm | X(0/1225) | X(0/924) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\hm-ansys_contact_wizard_2-d_tutorial.hm | X(0/231) | X(0/202) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\ansys\hm-ansys_contact_wizard_3-d_tutorial.hm | X(0/1225) | X(0/924) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\SEAT_MODEL.hm | X(0/34296) | X(0/27503) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\body_side_assembly.hm | X(0/21055) | X(0/20320) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\cartridge.hm | X(0/2248) | X(0/1053) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\dummy_positioner.hm | X(0/354176) | X(0/586202) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\frame_assembly.hm | OK | X(0/10066) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\frame_assembly_1.hm | X(0/10712) | X(0/10066) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\frame_assembly_2.hm | OK | X(0/10861) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\frame_assembly_3.hm | X(0/12642) | X(0/11953) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\frame_assembly_4.hm | X(0/12046) | X(0/11361) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\head_2.hm | OK | X(0/920) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\head_3.hm | X(0/1090) | X(0/920) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\head_start.hm | OK | X(0/920) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\joints.hm | OK | X(780/1009) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\pene_dyna.hm | X(0/4193) | X(0/3867) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\rear_truss_1_new.hm | OK | X(0/1740) | geo=21
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\seat_2.hm | X(0/1620) | X(0/1562) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\seat_deformer.hm | X(0/354174) | X(0/586202) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\seat_start.hm | X(0/1620) | X(0/1559) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\lsdyna\seatbelt.hm | X(0/34296) | X(0/27503) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\madymo\leg_geom.hm | OK | OK | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\pamcrash\rail-dyna.hm | OK | X(0/990) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\permas\permastube_clamping.hm | OK | X(0/790) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\permas\tube_clamping.hm | OK | X(0/790) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\interfaces\samcef\hook.hm | OK | X(132/12115) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\keyhole.hm | OK | X(496/505) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\manifold_inner_cylinder.hm | OK | X(1/11584) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\manifold_inner_cylinder_2d.hm | OK | X(0/227) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\manifold_surf_mesh.hm | OK | X(0/4264) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\molding1.hm | X(0/7279) | X(0/14558) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\morphing_1.hm | OK | X(0/200) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\penetration_check.hm | X(0/14046) | X(0/13605) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\planar.hm | OK | X(0/92) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\propeller.hm | OK | X(2/3707) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\quality_index.hm | OK | X(0/2216) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\radius-tcl.hm | OK | X(0/4) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\rail_crash.hm | OK | X(0/990) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\rear_truss_1_new.hm | OK | X(0/1740) | geo=21
  C:\Program Files\Altair\2019\tutorials\hm\s_bend_tube.hm | OK | X(0/5233) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\shell_section.hm | OK | X(0/8) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\solid_geom.hm | X(0/2) | OK | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\solid_map.hm | X(0/2) | OK | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\spar2_ex2.hm | OK | X(4916/4922) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\spline-tcl.hm | OK | X(0/2742) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\spring.hm | OK | X(0/5474) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\standard_section.hm | OK | X(0/16) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\standard_section_complete.hm | OK | X(0/36) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\truck.hm | X(0/212138) | X(0/212489) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\tube.hm | OK | X(0/792) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\windshield.hm | OK | X(0/112) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\wing_section_complete.hm | OK | X(0/1001) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\yoke.hm | OK | X(127225/133793) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\3_step_proc.hm10 | OK | X(0/8) | geo=0
  C:\Program Files\Altair\2019\tutorials\hm\3_step_proc_complete.hm10 | OK | X(1/9) | geo=0
summary: node-OK 66/98 elem-OK 6/98 files-with-geopoints 4
