  WS_3.2_3d_tetra_finish.hm | OK | OK | B
  C:\Program Files\Altair\2019\tutorials\hm\morphing_1.hm | OK | X(0/200) | B
  C:\Program Files\Altair\2019\tutorials\hm\penetration_check.hm | X(0/14046) | X(0/13605) | 
  C:\Program Files\Altair\2019\tutorials\hm\planar.hm | X(0/118) | X(0/92) | 
  C:\Program Files\Altair\2019\tutorials\hm\propeller.hm | OK | X(2/3707) | A
  C:\Program Files\Altair\2019\tutorials\hm\quality_index.hm | OK | X(0/2216) | B
  C:\Program Files\Altair\2019\tutorials\hm\radius-tcl.hm | X(0/4) | X(0/4) | 
  C:\Program Files\Altair\2019\tutorials\hm\rail_crash.hm | OK | X(0/990) | B
  C:\Program Files\Altair\2019\tutorials\hm\rear_truss_1_new.hm | OK | X(0/1740) | B
  C:\Program Files\Altair\2019\tutorials\hm\s_bend_tube.hm | OK | X(0/5233) | B
  C:\Program Files\Altair\2019\tutorials\hm\shell_section.hm | X(0/13) | X(0/8) | 
  C:\Program Files\Altair\2019\tutorials\hm\solid_geom.hm | X(0/2) | OK | 
  C:\Program Files\Altair\2019\tutorials\hm\solid_map.hm | X(0/2) | OK | 
  C:\Program Files\Altair\2019\tutorials\hm\spar2_ex2.hm | OK | X(4916/4922) | A
  C:\Program Files\Altair\2019\tutorials\hm\spline-tcl.hm | OK | X(0/2742) | B
  C:\Program Files\Altair\2019\tutorials\hm\spring.hm | OK | X(0/5474) | B
  C:\Program Files\Altair\2019\tutorials\hm\standard_section.hm | X(0/25) | X(0/16) | 
  C:\Program Files\Altair\2019\tutorials\hm\standard_section_complete.hm | X(0/25) | X(0/36) | 
  C:\Program Files\Altair\2019\tutorials\hm\truck.hm | X(0/212138) | X(0/212489) | 
  C:\Program Files\Altair\2019\tutorials\hm\tube.hm | OK | X(0/792) | B
  C:\Program Files\Altair\2019\tutorials\hm\windshield.hm | X(0/136) | X(0/112) | 
  C:\Program Files\Altair\2019\tutorials\hm\wing_section_complete.hm | OK | X(0/1001) | B
  C:\Program Files\Altair\2019\tutorials\hm\yoke.hm | OK | X(127225/133793) | B
  C:\Program Files\Altair\2019\tutorials\hm\3_step_proc.hm10 | X(0/13) | X(0/8) | 
  C:\Program Files\Altair\2019\tutorials\hm\3_step_proc_complete.hm10 | X(0/13) | X(0/9) | 
node-OK: 56/98  elem-OK: 6/98
