icw_ex2.hm                           v11.05  v11-classic payload=   246,944 | nodes        82/      100 miss+18 | elems       257/      269 miss+12 |    1.8s
electrical_housing.hm                v11.05  v11-classic payload=   248,101 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.1s
solid_geom.hm                        v11.05  v11-classic payload=   249,185 | nodes         0/        2 miss+2 | elems         0/        0 skip(0) |    0.0s
composites.hm                        v11.05  v11-classic payload=   259,603 | nodes     1,766/    1,766 OK | elems     1,763/    1,763 OK |    0.2s
bracket_cradle.hm                    v11.05  v11-classic payload=   262,309 | nodes     2,721/    2,721 OK | elems     2,278/    2,278 OK |    0.2s
abaqus_StepManager_tutorial.hm       v11.05  v11-classic payload=   263,529 | nodes     2,722/    2,722 OK | elems     2,279/    2,279 OK |    0.2s
hm-ansys_contact_wizard_3-d_tutorial.hm v11.05  v11-classic payload=   286,422 | nodes     1,225/    1,225 OK | elems       799/      924 miss+125 |    0.2s
channel_brkt_assem_loading.hm        v11.05  v11-classic payload=   295,325 | nodes     2,557/    2,557 OK | elems     2,429/    2,431 miss+2 |    0.2s
wing.hm                              v11.05  v11-classic payload=   300,914 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.0s
floor.hm                             v10.02  v10-legacy payload=   313,879 | nodes     2,919/    2,919 OK | elems     2,898/    2,898 OK |    0.2s
solid_map.hm                         v11.03  v11-classic payload=   337,944 | nodes         4/        2 miss-2 | elems         0/        0 skip(0) |    0.5s
channel_brkt_assem_analysis.hm       v11.05  v11-classic payload=   348,118 | nodes     2,557/    2,557 OK | elems     2,428/    2,431 miss+3 |    0.2s
chapter3.hm                          v11.05  v11-classic payload=   361,418 | nodes     2,230/    2,230 OK | elems     2,045/    2,045 OK |    0.2s
s_bend_tube.hm                       v11.05  v11-classic payload=   371,867 | nodes     2,626/    2,626 OK | elems     5,233/    5,233 OK |    0.3s
quality_index.hm                     v11.05  v11-classic payload=   371,931 | nodes     2,312/    2,312 OK | elems     2,216/    2,216 OK |    0.3s
bumper.hm                            v11.05  v11-classic payload=   381,615 | nodes       473/      473 OK | elems       436/      436 OK |    0.2s
dummy.hm                             v11.05  v11-classic payload=   385,653 | nodes     2,552/    2,552 OK | elems     2,536/    2,536 OK |    0.3s
shrinkwrap.hm                        v11.05  v11-classic payload=   417,810 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.1s
hm-ansys_contact_manager_3-d_tutorial.hm v12.07  v12-13     payload=   417,820 | nodes     1,225/    1,225 OK | elems       799/      924 miss+125 |    0.3s
dummy_position_solid.hm              v11.05  v11-classic payload=   421,037 | nodes     3,956/    3,956 OK | elems     3,585/    3,585 OK |    0.3s
manifold_surf_mesh.hm                v11.05  v11-classic payload=   424,309 | nodes     4,162/    4,162 OK | elems     4,264/    4,264 OK |    0.3s
crash_tubes.hm                       v11.05  v11-classic payload=   459,025 | nodes     4,997/    4,997 OK | elems     4,898/    4,902 miss+4 |    0.5s
part2.hm                             v11.05  v11-classic payload=   461,013 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.1s
